Subhead,Description,Canada,,USA,,Mexico,
0502.90,Hair and waste of badger and of other brushmaking hair,0502.90.00,D,0502.90.00,D,0502.90.99,A
,,,,,,,
0503.00,Horsehair and waste put up or not as a layer with or without,0503.00.10,Bg,0503.00.00,D,0503.00.01,A
,,0503.00.90,D,,,,
,,,,,,,
0504.00,"Guts, bladders and stomachs of animals except fish whole or in",0504.00.00,D,0504.00.00,D,0504.00.01,C
,,,,,,,
0505.10,"Feathers used for stuffing and down cleaned, disinfected or",0505.10.00,D,0505.10.00,A,0505.10.01,A
,,,,,,,
0505.90,"Feathers & down nes clnd, disinfected presvd,feathered pts &",0505.90.00,D,0505.90.00,A,0505.90.99,A
,,,,,,,
0506.10,"Ossein and bones treated with acid, unworked, defatted or",0506.10.10,D,0506.10.00,D,0506.10.01,A
,,0506.10.90,A,,,,
,,,,,,,
0506.90,"Bones and horn-cores degelatinised,unwk, defatted or simply",0506.90.00,D,0506.90.00,D,0506.90.99,A
,,,,,,,
,,,,,,,
0507.10,Ivory unworked or simply prepared not cut to shape and powder,0507.10.00,D,0507.10.00,D,0507.10.01,A
,,,,,,,
0507.90,"Whalebone, horns, etc unworked or simply prepared, unshaped,",0507.90.00,D,0507.90.00,D,0507.90.01,B
,,,,,,0507.90.99,A
,,,,,,,
0508.00,"Coral & sim mat, shellfish shells,cuttle bone, echinoderm unwk",0508.00.00,D,0508.00.00,D,0508.00.01,A
,,,,,,0508.00.99,A
,,,,,,,
0509.00,"Sponges, natural of animal origin",0509.00.00,D,0509.00.00,A,0509.00.01,A
,,,,,,,
0510.00,"Ambergris, castoreum, etc, bile dried or not & animal gland &",0510.00.10,D,0510.00.20,A,0510.00.01,A
,,0510.00.90,A,0510.00.40,D,0510.00.02,A
,,,,,,0510.00.03,A
,,,,,,0510.00.99,A
,,,,,,,
0511.10,Semen bovine,0511.10.00,D,0511.10.00,D,0511.10.01,D
,,,,,,,
0511.91,"Fish, shellfish & aqua invert prod nes & dead animals of Ch 3",0511.91.00,D,0511.91.00,D,0511.91.01,A
,,,,,,0511.91.99,A
,,,,,,,
0511.99,Animal products nes & dead animals of Chapter I unfit for huma,0511.99.00,D,0511.99.20,D,0511.99.01,A
,,,,0511.99.30,D,0511.99.02,A
,,,,0511.99.40,A,0511.99.03,D
,,,,,,0511.99.99,C
,,,,,,,
0601.10,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes,",0601.10.11,Bg,0601.10.15,A,0601.10.01,D
,,0601.10.19,D,0601.10.30,A,0601.10.99,D
,,0601.10.21,D,0601.10.45,A,,
,,0601.10.22,Bg,0601.10.60,A,,
,,0601.10.23,D,0601.10.75,A,,
,,0601.10.29,Bg,0601.10.85,A,,
,,,,0601.10.90,A,,
,,,,,,,
0601.20,"Bulbs, tubers, corms etc in growth or in flower & chicory",0601.20.10,Bg,0601.20.10,A,0601.20.01,A
,,0601.20.21,D,0601.20.90,A,0601.20.02,A
,,0601.20.22,D,,,0601.20.99,A
,,0601.20.29,Bg,,,,
,,,,,,,
0602.10,"Cuttings and slips, unrooted",0602.10.00,D,0602.10.00,A,0602.10.01,D
,,,,,,,
0602.20,"Trees, edible fruit or nut, shrubs and bushes, grafted or not",0602.20.00,D,0602.20.00,D,0602.20.01,A
,,,,,,0602.20.02,A
,,,,,,0602.20.03,A
,,,,,,0602.20.99,A
,,,,,,,
0602.30,"Rhododendrons and azaleas,grafted or not",0602.30.00,D,0602.30.00,A,0602.30.01,A
,,,,,,,
0602.40,"Roses, grafted or not",0602.40.10,Bg,0602.40.00,D,0602.40.01,D
,,0602.40.90,D,,,0602.40.99,A
,,,,,,,
,,,,,,,
0602.91,Mushroom spawn,0602.91.00,D,0602.91.00,A,0602.91.01,A
,,,,,,,
0602.99,"Plants, live (including their roots),nes",0602.99.10,D,0602.99.20,D,0602.99.01,A
,,0602.99.91,D,0602.99.30,A,0602.99.02,A
,,0602.99.99,Bg,0602.99.40,A,0602.99.03,A
,,,,0602.99.60,A,0602.99.04,A
,,,,0602.99.90,A,0602.99.05,D
,,,,,,0602.99.99,A
,,,,,,,
0603.10,"Cut flowers & flower buds for bouquets or ornamental purposes,",0603.10.10,A,0603.10.30,A,0603.10.01,A
,,0603.10.90,Ct,q  0603.10.60,B,0603.10.99,A
,,,,0603.10.70,A,,
,,,,0603.10.80,A,,
,,,,,,,
0603.90,"Cut flowers & flower buds for bouquets or ornamental purposes,",0603.90.10,Bg,0603.90.00,A,0603.90.99,A
,,0603.90.90,Bg,,,,
,,,,,,,
0604.10,Mosses and lichens suitable for bouquets or for ornamental,0604.10.00,D,0604.10.00,D,0604.10.01,D
,,,,,,0604.10.99,A
,,,,,,,
0604.91,"Foliage,branch & pts of plant w/o flo or bud,grass, for",0604.91.10,D,0604.91.00,D,0604.91.01,A
,,0604.91.20,D,,,0604.91.99,A
,,0604.91.30,D,,,,
,,0604.91.90,Bg,,,,
,,,,,,,
0604.99,"Foliage,branch,etc w/o flowers or buds & grass for bouquet or",0604.99.10,D,0604.99.30,D,0604.99.01,A
,,0604.99.90,Bg,0604.99.60,A,0604.99.99,A
,,,,,,,
0701.10,"Potatoes seed, fresh or chilled",0701.10.00,Bg,0701.10.00,A,0701.10.01,D
,,,,,,,
0701.90,"Potatoes, fresh or chilled nes",0701.90.00,Bg,0701.90.10,A,0701.90.99,CAg
,,,,0701.90.50,B,,
,,,,,,,
0702.00,"Tomatoes, fresh or chilled",0702.00.10,Bg,0702.00.0W,Ctq,0702.00.XX,A
,,0702.00.91,Ct,q  0702.00.0X,B,0702.00.XY,A
,,0702.00.99,D,0702.00.0Y,Ctq,0702.00.XZ,A
,,,,0702.00.0Z,A,0702.00.0X,A
,,,,0702.00.40,B,0702.00.0Y,A
,,,,0702.00.60,Ctq,0702.00.0Z,A
,,,,,,,
0703.10,"Onions and shallots, fresh or chilled",0703.10.10,Bg,0703.10.20,A,0703.10.01,B
,,0703.10.21,Bg,0703.10.30,A,0703.10.99,A
,,0703.10.29,D,0703.10.4X,Ctq,,
,,0703.10.31,Ct,q  0703.10.4Y,C,,
,,0703.10.39,D,,,,
,,0703.10.91,Bg,,,,
,,0703.10.99,D,,,,
,,,,,,,
0703.20,"Garlic, fresh or chilled",0703.20.00,Bg,0703.20.00,A,0703.20.01,A
,,,,,,0703.20.99,A
,,,,,,,
,,,,,,,
0703.90,"Leeks and other alliaceous vegetables, fresh or chilled",0703.90.00,Bg,0703.90.00,B,0703.90.01,A
,,,,0703.90.0X,B,,
,,,,,,,
0704.10,"Cauliflowers and headed broccoli, fresh or chilled",0704.10.11,Bg,0704.10.20,A,0704.10.XX,A
,,0704.10.12,Bg,0704.10.0X,C,0704.10.XY,A
,,0704.10.90,D,0704.10.0Y,B,0704.10.0X,A
,,,,0704.10.0Z,A,0704.10.0Y,A
,,,,0704.10.60,C,0704.10.0Z,A
,,,,,,,
0704.20,"Brussels sprouts, fresh or chilled",0704.20.11,Bg,0704.20.0X,C,0704.20.01,A
,,0704.20.12,Bg,0704.20.0Y,B,,
,,0704.20.90,D,,,,
,,,,,,,
0704.90,"Cabbages, kohlrabi, kale and sim edible brassicas nes, fresh o",0704.90.10,Bg,0704.90.20,A,0704.90.01,A
,,0704.90.21,C,0704.90.4W,C+,0704.90.9W,A
,,0704.90.29,D,0704.90.4X,B,0704.90.9X,A
,,0704.90.31,Bg,0704.90.4Y,B,0704.90.9Y,A
,,0704.90.39,D,0704.90.4Z,A,0704.90.9Z,A
,,0704.90.41,Bg,,,,
,,0704.90.49,D,,,,
,,0704.90.90,A,,,,
,,,,,,,
0705.11,Cabbage lettuce (head lettuce) fresh or chilled,0705.11.11,Bg,0705.11.20,A,0705.11.0X,A
,,0705.11.12,Bg,0705.11.0X,C,0705.11.0Y,A
,,0705.11.90,D,0705.11.0Y,B,0705.11.0Z,A
,,,,0705.11.0Z,B,,
,,,,,,,
0705.19,"Lettuce, fresh or chilled nes",0705.19.11,Bg,0705.19.20,A,0705.19.9X,A
,,0705.19.12,Bg,0705.19.0X,C,0705.19.9Y,A
,,0705.19.90,D,0705.19.0Y,B,0705.19.9Z,A
,,,,0705.19.0Z,B,0705.19.99,A
,,,,,,,
0705.21,"Witloof chicory, fresh or chilled",0705.21.00,D,0705.21.00,A,0705.21.01,A
,,,,,,,
0705.29,"Chicory, fresh or chilled, nes",0705.29.00,D,0705.29.00,A,0705.29.99,A
,,,,,,,
0706.10,"Carrots and turnips, fresh or chilled",0706.10.11,C,0706.10.05,A,0706.10.01,A
,,0706.10.12,C,0706.10.10,A,,
,,0706.10.21,Bg,0706.10.20,B,,
,,0706.10.22,Bg,0706.10.40,D,,
,,0706.10.30,D,,,,
,,0706.10.40,D,,,,
,,,,,,,
0706.90,"Salad beetroot,salsify,celeriac,radishes & sim edible roots,",0706.90.10,Bg,0706.90.20,A,0706.90.99,A
,,0706.90.21,Bg,0706.90.30,A,,
,,0706.90.22,Bg,0706.90.40,B,,
,,0706.90.30,D,,,,
,,0706.90.40,Bg,,,,
,,0706.90.51,Bg,,,,
,,0706.90.59,D,,,,
,,0706.90.90,D,,,,
,,,,,,,
,,,,,,,
0707.00,"Cucumbers and gherkins, fresh or chilled",0707.00.10,C,0707.00.0V,A,0707.00.0W,A
,,0707.00.91,Ct,q  0707.00.0W,C+,0707.00.0X,A
,,0707.00.99,D,0707.00.0X,B,0707.00.0Y,A
,,,,0707.00.0Y,B,0707.00.0Z,A
,,,,0707.00.0Z,C+,0707.00.01,A
,,,,0707.00.60,A,,
,,,,,,,
0708.10,"Peas, shelled or unshelled, fresh or chilled",0708.10.10,Bg,0708.10.20,A,0708.10.01,A
,,0708.10.91,Bg,0708.10.40,A,,
,,0708.10.99,D,,,,
,,,,,,,
0708.20,"Beans, shelled or unshelled, fresh or chilled",0708.20.10,Bg,0708.20.10,A,0708.20.01,A
,,0708.20.21,Bg,0708.20.20,D,,
,,0708.20.22,Bg,0708.20.0X,C,,
,,0708.20.30,D,0708.20.0Y,B,,
,,0708.20.91,D,,,,
,,0708.20.99,Bg,,,,
,,,,,,,
0708.90,"Leguminous vegetables, shelled or unshelled, fresh or chilled",0708.90.10,D,0708.90.05,A,0708.90.99,A
,,0708.90.90,A,0708.90.15,A,,
,,,,0708.90.25,D,,
,,,,0708.90.30,A,,
,,,,0708.90.40,B,,
,,,,,,,
0709.10,"Globe artichokes, fresh or chilled",0709.10.00,D,0709.10.00,A,0709.10.01,A
,,,,,,,
0709.20,"Asparagus, fresh or chilled",0709.20.10,Bg,0709.20.10,A,0709.20.0V,A
,,0709.20.91,Bg,0709.20.0X,C+,0709.20.0W,A
,,0709.20.99,D,0709.20.0Y,C+,0709.20.0X,A
,,,,0709.20.0Z,A,0709.20.0Y,A
,,,,0709.20.90,C,0709.20.0Z,A
,,,,,,,
0709.30,"Aubergines(egg-plants), fresh or chilled",0709.30.00,D,0709.30.0X,Ctq,0709.30.01,A
,,,,0709.30.0Y,A,,
,,,,0709.30.0Z,C,,
,,,,0709.30.40,C,,
,,,,,,,
0709.40,"Celery, other than celeriac, fresh or chilled",0709.40.11,Bg,0709.40.20,C,0709.40.XX,A
,,0709.40.12,Bg,0709.40.40,A,0709.40.XY,A
,,0709.40.90,D,0709.40.0X,C,0709.40.XZ,A
,,,,0709.40.0Y,B,0709.40.YY,A
,,,,,,,
0709.51,"Mushrooms, fresh or chilled",0709.51.10,Bg,0709.51.00,C,0709.51.01,A
,,0709.51.90,Bg,,,,
,,,,,,,
0709.52,"Truffles, fresh or chilled",0709.52.00,D,0709.52.00,D,0709.52.01,A
,,,,,,,
0709.60,"Peppers of the genus Capsicum or of the genus Pimenta, fresh o",0709.60.10,Bg,0709.60.0W,C,0709.60.0X,A
,,0709.60.90,D,0709.60.0X,C,0709.60.0Y,A
,,,,0709.60.0Y,Ctq,0709.60.01,A
,,,,,,,
,,,,0709.60.0Z,A,,
,,,,,,,
0709.70,"Spinach, N-Z spinach and orache spinach (garden spinach), fres",0709.70.00,D,0709.70.0X,B,0709.70.01,A
,,,,0709.70.0Y,B,,
,,,,,,,
0709.90,"Vegetables, fresh or chilled nes",0709.90.10,D,0709.90.05,A,0709.90.99,A
,,0709.90.20,Bg,0709.90.10,A,,
,,0709.90.31,Bg,0709.90.13,A,,
,,0709.90.39,D,0709.90.16,A,,
,,0709.90.41,Bg,0709.90.0N,Ctq,,
,,0709.90.49,D,0709.90.0P,B,,
,,0709.90.51,Bg,0709.90.0N,B,,
,,0709.90.52,Bg,0709.90.0P,B,,
,,0709.90.60,D,0709.90.0Q,B,,
,,0709.90.91,D,0709.90.0R,B,,
,,0709.90.99,Bg,0709.90.0S,B,,
,,,,0709.90.0T,B,,
,,,,0709.90.0U,B,,
,,,,0709.90.0V,B,,
,,,,0709.90.0W,B,,
,,,,0709.90.0X,B,,
,,,,0709.90.0Y,B,,
,,,,0709.90.0Z,C,,
,,,,0709.90.30,A,,
,,,,0709.90.35,A,,
,,,,,,,
0710.10,"Potatoes, frozen",0710.10.00,Bg,0710.10.00,B,0710.10.01,Ctq
,,,,,,,
0710.21,"Peas, frozen",0710.21.00,Bg,0710.21.20,A,0710.21.01,A
,,,,0710.21.40,A,,
,,,,,,,
0710.22,"Beans, frozen",0710.22.00,Bg,0710.22.10,A,0710.22.01,A
,,,,0710.22.15,A,,
,,,,0710.22.20,D,,
,,,,0710.22.25,A,,
,,,,0710.22.37,B,,
,,,,0710.22.40,B,,
,,,,,,,
0710.29,Leguminous vegetables frozen nes,0710.29.10,D,0710.29.05,A,0710.29.99,A
,,0710.29.90,Bg,0710.29.15,A,,
,,,,0710.29.25,D,,
,,,,0710.29.30,A,,
,,,,0710.29.40,B,,
,,,,,,,
0710.30,"Spinach, N-Z spinach and orache spinach (garden spinach),",0710.30.00,D,0710.30.00,A,0710.30.01,A
,,,,,,,
0710.40,"Sweet corn, frozen",0710.40.00,Bg,0710.40.00,B,0710.40.01,B
,,,,,,,
0710.80,"Vegetables, frozen nes",0710.80.10,C,0710.80.10,D,0710.80.XX,A
,,0710.80.20,Ct,q  0710.80.20,C,0710.80.XY,A
,,0710.80.30,Bg,0710.80.40,A,0710.80.XZ,A
,,,,,,,
,,0710.80.41,C,0710.80.45,A,0710.80.YX,A
,,0710.80.49,Bg,0710.80.50,A,0710.80.YY,A
,,0710.80.50,Bg,0710.80.60,A,0710.80.01,A
,,0710.80.91,D,0710.80.65,A,0710.80.9X,A
,,0710.80.99,Bg,0710.80.70,A,0710.80.9Y,A
,,,,0710.80.85,C,0710.80.9Z,A
,,,,0710.80.93,A,0710.80.99,A
,,,,0710.80.9U,C,,
,,,,0710.80.9V,C,,
,,,,0710.80.9W,C,,
,,,,0710.80.9X,C,,
,,,,0710.80.9Y,C,,
,,,,0710.80.9Z,B,,
,,,,,,,
0710.90,"Mixtures of vegetables, frozen",0710.90.00,C,0710.90.10,A,0710.90.0X,A
,,,,0710.90.90,B,0710.90.0Y,A
,,,,,,,
0711.10,"Onions, provisionally preserved but not suitable for immediate",0711.10.00,Bg,0711.10.00,A,0711.10.01,A
,,,,,,,
0711.20,"Olives, provisionally preserved but not suitable for immediate",0711.20.00,D,0711.20.15,A,0711.20.01,A
,,,,0711.20.25,B,,
,,,,0711.20.40,C,,
,,,,,,,
0711.30,"Capers, provisionally preserved but not suitable for immediate",0711.30.00,A,0711.30.00,A,0711.30.01,A
,,,,,,,
0711.40,"Cucumbers & gherkins provisionally presvd, but not for",0711.40.00,C,0711.40.00,A,0711.40.01,A
,,,,,,,
0711.90,Vegetables nes & mixtures provisionally presvd but not for,0711.90.00,Bg,0711.90.20,D,0711.90.9X,A
,,,,0711.90.40,B,0711.90.99,A
,,,,0711.90.60,A,,
,,,,,,,
0712.10,"Potatoes dried, but not further prepared",0712.10.00,Bg,0712.10.00,B,0712.10.01,Ctq
,,,,,,,
0712.20,Onions dried but not further prepared,0712.20.00,A,0712.20.20,C+,0712.20.01,A
,,,,0712.20.40,C+,,
,,,,,,,
0712.30,Mushrooms and truffles dried but not further prepared,0712.30.10,Bg,0712.30.10,A,0712.30.01,A
,,0712.30.20,D,0712.30.20,B,,
,,,,0712.30.40,D,,
,,,,,,,
0712.90,"Vegetables and mixtures dried, but not further prepared nes",0712.90.10,D,0712.90.10,A,0712.90.9X,A
,,0712.90.20,Bg,0712.90.15,A,0712.90.9Y,A
,,0712.90.90,Bg,0712.90.20,B,0712.90.99,A
,,,,0712.90.40,C+,,
,,,,0712.90.60,D,,
,,,,0712.90.65,A,,
,,,,0712.90.70,A,,
,,,,0712.90.75,A,,
,,,,0712.90.80,A,,
,,,,,,,
0713.10,"Peas dried, shelled, whether or not skinned or split",0713.10.10,A,0713.10.10,A,0713.10.01,A
,,,,,,,
,,0713.10.90,D,0713.10.20,D,0713.10.02,D
,,,,0713.10.40,A,,
,,,,,,,
0713.20,"Chickpeas, dried, shelled, whether or not skinned or split",0713.20.00,D,0713.20.10,A,0713.20.01,A
,,,,0713.20.20,A,,
,,,,,,,
0713.31,"Urd,mung,black or green gram beans dried shelled, whether or",0713.31.10,D,0713.31.10,A,0713.31.01,A
,,0713.31.90,A,0713.31.20,D,,
,,,,0713.31.40,A,,
,,,,,,,
0713.32,"Beans, small red (Adzuki) dried, shelled, whether or not",0713.32.00,A,0713.32.10,A,0713.32.01,A
,,,,0713.32.20,A,,
,,,,,,,
0713.33,"Kidney beans and white pea beans dried shelled, whether or not",0713.33.10,D,0713.33.10,A,0713.33.01,D
,,0713.33.91,A,0713.33.20,A,0713.33.02,C+Ag
,,0713.33.99,A,0713.33.40,A,,
,,,,,,,
0713.39,"Beans dried, shelled, whether or not skinned or split, nes",0713.39.10,D,0713.39.10,A,0713.39.99,A
,,0713.39.90,A,0713.39.15,D,,
,,,,0713.39.20,A,,
,,,,0713.39.40,A,,
,,,,,,,
0713.40,"Lentils dried, shelled, whether or not skinned or split",0713.40.00,D,0713.40.10,A,0713.40.01,A
,,,,0713.40.20,A,,
,,,,,,,
0713.50,"Broad beans & horse beans dried, shelled, whether or not",0713.50.10,D,0713.50.10,A,0713.50.01,A
,,0713.50.90,A,0713.50.20,A,,
,,,,,,,
0713.90,"Leguminous vegetables dried, shelled, whether or not skinned o",0713.90.10,D,0713.90.10,A,0713.90.99,A
,,0713.90.90,A,0713.90.50,D,,
,,,,0713.90.60,A,,
,,,,0713.90.80,A,,
,,,,,,,
0714.10,"Manioc (cassava), fresh or dried, whether or not sliced or",0714.10.00,D,0714.10.00,A,0714.10.01,A
,,,,,,,
0714.20,"Sweet potatoes, fresh or dried, whether or not sliced or",0714.20.00,D,0714.20.00,A,0714.20.01,A
,,,,,,,
0714.90,"Arrowroot, salep etc fr or dried whether or not sliced or",0714.90.10,D,0714.90.10,A,0714.90.9X,A
,,0714.90.21,Bg,0714.90.20,A,0714.90.99,A
,,0714.90.22,Bg,0714.90.40,C,,
,,0714.90.91,D,0714.90.50,D,,
,,0714.90.92,Bg,0714.90.60,A,,
,,,,,,,
0801.10,"Coconuts, fresh or dried, whether or not shelled or peeled",0801.10.00,D,0801.10.00,D,0801.10.01,A
,,,,,,,
0801.20,"Brazil nuts, fresh or dried, whether or not shelled or peeled",0801.20.00,D,0801.20.00,D,0801.20.01,A
,,,,,,,
0801.30,"Cashew nuts, fresh or dried, whether or not shelled or peeled",0801.30.00,D,0801.30.00,D,0801.30.01,A
,,,,,,0801.30.99,A
,,,,,,,
0802.11,Almonds in shell fresh or dried,0802.11.00,D,0802.11.00,A,0802.11.01,A
,,,,,,,
,,,,,,,
0802.12,"Almonds,fresh or dried,shelled or peeled",0802.12.00,D,0802.12.00,A,0802.12.01,A
,,,,,,,
0802.21,Hazelnuts or filberts in shell fresh or dried,0802.21.00,D,0802.21.00,A,0802.21.01,A
,,,,,,,
0802.22,"Hazelnuts or filberts, fresh or dried, shelled or peeled",0802.22.00,D,0802.22.00,A,0802.22.01,A
,,,,,,,
0802.31,"Walnuts in shell, fresh or dried",0802.31.00,D,0802.31.00,A,0802.31.01,A
,,,,,,,
0802.32,"Walnuts, fresh or dried, shelled or peeled",0802.32.00,D,0802.32.00,A,0802.32.01,A
,,,,,,,
0802.40,"Chestnuts, fresh or dried, whether or not shelled or peeled",0802.40.00,D,0802.40.00,D,0802.40.01,A
,,,,,,,
0802.50,"Pistachios, fresh or dried, whether or not shelled or peeled",0802.50.00,D,0802.50.20,A,0802.50.01,A
,,,,0802.50.40,A,0802.50.02,A
,,,,,,,
0802.90,"Nuts edible, fresh or dried, whether or not shelled or peeled,",0802.90.00,D,0802.90.10,A,0802.90.01,A
,,,,0802.90.15,A,0802.90.99,A
,,,,0802.90.20,A,,
,,,,0802.90.25,A,,
,,,,0802.90.80,A,,
,,,,0802.90.90,A,,
,,,,,,,
0803.00,"Bananas including plantains, fresh or dried",0803.00.00,D,0803.00.20,D,0803.00.01,A
,,,,0803.00.30,D,,
,,,,0803.00.40,A,,
,,,,,,,
0804.10,"Dates, fresh or dried",0804.10.00,D,0804.10.20,B,0804.10.01,A
,,,,0804.10.40,A,0804.10.02,A
,,,,0804.10.60,A,,
,,,,0804.10.80,B,,
,,,,,,,
0804.20,"Figs, fresh or dried",0804.20.00,D,0804.20.40,A,0804.20.01,A
,,,,0804.20.60,A,0804.20.02,A
,,,,0804.20.80,B,,
,,,,,,,
0804.30,"Pineapples, fresh or dried",0804.30.00,D,0804.30.20,A,0804.30.01,A
,,,,0804.30.40,A,,
,,,,0804.30.60,A,,
,,,,,,,
0804.40,"Avocados, fresh or dried",0804.40.00,D,0804.40.00,C,0804.40.01,A
,,,,,,,
0804.50,"Guavas, mangoes and mangosteens, fresh or dried",0804.50.00,D,0804.50.40,A,0804.50.01,A
,,,,0804.50.0X,B,,
,,,,0804.50.0Y,C,,
,,,,0804.50.80,A,,
,,,,,,,
0805.10,"Oranges, fresh or dried",0805.10.00,D,0805.10.0X,B,0805.10.01,A
,,,,0805.10.0Y,A,,
,,,,,,,
0805.20,Mandarins(tang & sats)clementines & wilkings &sim citrus,0805.20.00,D,0805.20.0X,C,0805.20.01,A
,,,,,,,
,,,,0805.20.0Y,B,,
,,,,,,,
0805.30,"Lemons and limes, fresh or dried",0805.30.00,D,0805.30.20,C,0805.30.01,A
,,,,0805.30.40,C,,
,,,,,,,
0805.40,"Grapefruit, fresh or dried",0805.40.00,D,0805.40.40,A,0805.40.0X,A
,,,,0805.40.60,C,0805.40.0Y,A
,,,,0805.40.80,C,0805.40.0Z,A
,,,,,,,
0805.90,"Citrus fruits, fresh or dried, nes",0805.90.00,D,0805.90.00,A,0805.90.99,A
,,,,,,,
0806.10,"Grapes, fresh",0806.10.10,Bg,0806.10.20,A,0806.10.01,C
,,0806.10.91,D,0806.10.40,D,,
,,0806.10.99,Bg,0806.10.60,A,,
,,,,,,,
0806.20,"Grapes, dried",0806.20.00,D,0806.20.10,A,0806.20.01,A
,,,,0806.20.20,A,,
,,,,0806.20.90,A,,
,,,,,,,
0807.10,"Melons (including watermelons), fresh",0807.10.00,D,0807.10.0Q,D,0807.10.01,A
,,,,0807.10.0R,C+,,
,,,,0807.10.30,A,,
,,,,0807.10.0S,C,,
,,,,0807.10.50,A,,
,,,,0807.10.60,A,,
,,,,0807.10.0T,C+,,
,,,,0807.10.0U,A,,
,,,,0807.10.0W,C,,
,,,,0807.10.0X,A,,
,,,,0807.10.0Y,B,,
,,,,0807.10.0Z,C,,
,,,,0807.10.80,C+,,
,,,,,,,
0807.20,"Papaws (papayas), fresh",0807.20.00,D,0807.20.00,C,0807.20.01,A
,,,,,,,
0808.10,"Apples, fresh",0808.10.10,D,0808.10.00,D,0808.10.01,Ctq
,,0808.10.90,Bg,,,,
,,,,,,,
0808.20,"Pears and quinces, fresh",0808.20.10,Bg,0808.20.20,D,0808.20.01,B
,,0808.20.21,Bg,0808.20.40,A,0808.20.02,B
,,0808.20.29,D,,,,
,,0808.20.30,D,,,,
,,,,,,,
0809.10,"Apricots, fresh",0809.10.10,Bg,0809.10.00,A,0809.10.01,B
,,0809.10.91,Bg,,,,
,,0809.10.99,D,,,,
,,,,,,,
0809.20,"Cherries, fresh",0809.20.10,Bg,0809.20.00,D,0809.20.01,A
,,0809.20.21,Bg,,,,
,,0809.20.29,D,,,,
,,0809.20.31,Bg,,,,
,,,,,,,
,,0809.20.39,D,,,,
,,0809.20.90,Bg,,,,
,,,,,,,
0809.30,"Peaches, including nectarines, fresh",0809.30.10,Bg,0809.30.20,A,0809.30.01,C
,,0809.30.21,Bg,0809.30.40,D,,
,,0809.30.29,D,,,,
,,0809.30.30,D,,,,
,,0809.30.90,Bg,,,,
,,,,,,,
0809.40,"Plums and sloes, fresh",0809.40.10,Bg,0809.40.20,D,0809.40.01,B
,,0809.40.21,Bg,0809.40.40,A,,
,,0809.40.29,D,,,,
,,0809.40.31,Bg,,,,
,,0809.40.39,D,,,,
,,0809.40.90,Bg,,,,
,,,,,,,
0810.10,"Strawberries, fresh",0810.10.10,Bg,0810.10.20,A,0810.10.01,A
,,0810.10.91,Bg,0810.10.40,A,,
,,0810.10.99,D,,,,
,,,,,,,
0810.20,"Raspberries, blackberries, mulberries and loganberries, fresh",0810.20.11,Bg,0810.20.10,A,0810.20.01,A
,,0810.20.19,D,0810.20.90,D,,
,,0810.20.90,Bg,,,,
,,,,,,,
0810.30,"Black, white or red currants and gooseberries, fresh",0810.30.00,Bg,0810.30.00,D,0810.30.01,B
,,,,,,,
0810.40,"Cranberries, bilberries and other fruits of the genus",0810.40.10,D,0810.40.00,D,0810.40.01,B
,,0810.40.90,Bg,,,,
,,,,,,,
0810.90,"Fruits, fresh nes",0810.90.10,Bg,0810.90.20,D,0810.90.01,B
,,0810.90.90,D,0810.90.40,B,0810.90.99,A
,,,,,,,
0811.10,"Strawberries, uncooked or steamed or boiled in water,sweetened",0811.10.10,Ct,q  0811.10.00,C,0811.10.01,C
,,0811.10.90,Ct,q,,,
,,,,,,,
0811.20,"Raspberries,mulberries, etc uncook,steam or boil in water",0811.20.00,Bg,0811.20.20,A,0811.20.01,A
,,,,0811.20.40,A,,
,,,,,,,
0811.90,"Fruits and edible nuts uncook, steam or boil (water) sweetened",0811.90.10,D,0811.90.10,A,0811.90.99,A
,,0811.90.20,Bg,0811.90.20,D,,
,,0811.90.30,Bg,0811.90.22,C,,
,,0811.90.40,A,0811.90.25,A,,
,,0811.90.50,A,0811.90.30,D,,
,,0811.90.90,Bg,0811.90.35,A,,
,,,,0811.90.40,C,,
,,,,0811.90.50,A,,
,,,,0811.90.52,A,,
,,,,0811.90.55,A,,
,,,,0811.90.80,B,,
,,,,,,,
0812.10,Cherries provisionally preserved but unsuitable for immediate,0812.10.00,Bg,0812.10.00,B,0812.10.01,B
,,,,,,,
,,,,,,,
0812.20,Strawberries provisionally preserved but unsuitable for,0812.20.00,C,0812.20.00,A,0812.20.01,A
,,,,,,,
0812.90,Fruits and nuts provisionally preserved but unfit for immediat,0812.90.10,D,0812.90.10,B,0812.90.9X,B
,,0812.90.91,D,0812.90.20,B,0812.90.9Y,B
,,0812.90.99,Bg,0812.90.30,C,0812.90.99,A
,,,,0812.90.40,A,,
,,,,0812.90.90,A,,
,,,,,,,
0813.10,"Apricots, dried",0813.10.00,D,0813.10.00,A,0813.10.01,B
,,,,,,0813.10.99,B
,,,,,,,
0813.20,"Prunes, dried",0813.20.00,D,0813.20.10,A,0813.20.01,B
,,,,0813.20.20,A,0813.20.02,A
,,,,,,,
0813.30,"Apples, dried",0813.30.00,Bg,0813.30.00,A,0813.30.01,C
,,,,,,,
0813.40,"Fruits, dried nes",0813.40.00,D,0813.40.10,A,0813.40.01,C
,,,,0813.40.15,A,0813.40.02,B
,,,,0813.40.20,A,0813.40.03,C
,,,,0813.40.30,A,0813.40.99,A
,,,,0813.40.40,A,,
,,,,0813.40.80,A,,
